;tweetID;tweetText;tweetCreated;hashtag;team
0;1048603778272907264;RT @ActiveLeicester: Want to learn how to ride a bike? Our colleagues @CHYMLeics are offering a Level 1 adult cycle training course startin…;2018-10-06 15:59:57;#leicester;Leicester
1;1048603630465667073;"RT @KieronAttwood: It's on!

@TheSameFaces are back tonight at #Leicester's very own @VenueCriterion bringing the improvised comedy and all…";2018-10-06 15:59:22;#leicester;Leicester
2;1048603630465667073;"RT @KieronAttwood: It's on!

@TheSameFaces are back tonight at #Leicester's very own @VenueCriterion bringing the improvised comedy and all…";2018-10-06 15:59:22;#leicester;Leicester
3;1048603550492897281;"#PremierLeague: Final:

#Tottenham 1- #Cardiff 0
#Watford 0- #Bournemouth 4
#CrystalPalace 0- #Wolverhampton 1… https://t.co/S1rIC5dVKt";2018-10-06 15:59:03;#leicester;Leicester
4;1048603419190206466;"#PremierLeague FULL TIME Scores
Did you get a win today?

#Burnley 1 - 1 #Huddersfield
#Palace 0 - 1 #Wolves… https://t.co/VlgLIcQbpq";2018-10-06 15:58:31;#leicester;Leicester
5;1048603160951046144;"A reminder that the #M1 is now open in both directions but significant delays remain. https://t.co/BZAp3NaL1N

#EFC… https://t.co/R0j3jpU3yO";2018-10-06 15:57:30;#leicester;Leicester
6;1048603062070378496;"RT #WestBridgfordWire Avoid area - M1 #Leicester J 21 - J 21a #Nottingham #Derby
https://t.co/7bGcw7q8BX";2018-10-06 15:57:06;#leicester;Leicester
7;1048603044525608960;Leicester 1-2 Everton, FINAL #Leicester #Everton #PremierLeague;2018-10-06 15:57:02;#leicester;Leicester
8;1048602933565292544;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:56:36;#leicester;Leicester
9;1048602784629575680;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:56:00;#leicester;Leicester
10;1048602641142431745;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:55:26;#leicester;Leicester
11;1048602633727107073;Foxes lose, but at least Tigers won. #leicester;2018-10-06 15:55:24;#leicester;Leicester
12;1048602579977027584;Join us this half term for a week of haunted FUN! We have spooky pizza baking, face painting, storytelling and lots… https://t.co/e8d6VFCCPS;2018-10-06 15:55:11;#leicester;Leicester
13;1048602543843160064;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:55:03;#leicester;Leicester
14;1048602397663285249;"RT @KieronAttwood: It's on!

@TheSameFaces are back tonight at #Leicester's very own @VenueCriterion bringing the improvised comedy and all…";2018-10-06 15:54:28;#leicester;Leicester
15;1048602219250110465;"Full-time at the #KingPower and it's the visitors who take home the 3⃣ points 👏

#LCFC 🦊 1-2 🍬 #EFC

#PremierLeague… https://t.co/ic9WyR6ELn";2018-10-06 15:53:45;#leicester;Leicester
16;1048602180591263744;"Avoid area - M1 #Leicester J 21 - J 21a #Nottingham #Derby
https://t.co/zPqygglh2x";2018-10-06 15:53:36;#leicester;Leicester
17;1048602133556334592;"#football #livescore
FINAL TIME 🏁
#Leicester City 1-2 #Everton";2018-10-06 15:53:25;#leicester;Leicester
18;1048602114002489351;"RT @LeicsEvents: Over 3,300 #Everton fans have made the journey to a rainy #Leicester this afternoon 👏

#EFC #PremierLeague #Toffees #LeiEv…";2018-10-06 15:53:20;#leicester;Leicester
19;1048601996947869700;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:52:52;#leicester;Leicester
20;1048601886734127104;"RT @LeicsEvents: Over 3,300 #Everton fans have made the journey to a rainy #Leicester this afternoon 👏

#EFC #PremierLeague #Toffees #LeiEv…";2018-10-06 15:52:26;#leicester;Leicester
21;1048601871353597957;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:52:22;#leicester;Leicester
22;1048600202217775104;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:45:44;#leicester;Leicester
23;1048599928606351362;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:44:39;#leicester;Leicester
24;1048599887049379842;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:44:29;#leicester;Leicester
25;1048599876353679361;"RT @LeicsEvents: Over 3,300 #Everton fans have made the journey to a rainy #Leicester this afternoon 👏

#EFC #PremierLeague #Toffees #LeiEv…";2018-10-06 15:44:27;#leicester;Leicester
26;1048599709097635841;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:43:47;#leicester;Leicester
27;1048599350874689542;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:42:21;#leicester;Leicester
28;1048599321938206720;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:42:15;#leicester;Leicester
29;1048599069491380225;"RT @LeicsEvents: #M1 has now fully reopened in both directions between J21 and J21A however significant northbound delays remain. 🛣️

Alter…";2018-10-06 15:41:14;#leicester;Leicester
30;1048599047789899778;"RT @LeicsEvents: #M1 has now fully reopened in both directions between J21 and J21A however significant northbound delays remain. 🛣️

Alter…";2018-10-06 15:41:09;#leicester;Leicester
31;1048598865992200192;"RT @UnityNewsNet: Why are the media IGNORING this story?!!!

Read now: https://t.co/Cg0vFZZMJf

#Leicester";2018-10-06 15:40:26;#leicester;Leicester
32;1048598860334026757;"Like, share &amp; retweet 👍💙 #nails #beauty #salon #nailtech #therapist #leicester #retreat #logcabin https://t.co/3aTaaXsCEF";2018-10-06 15:40:24;#leicester;Leicester
33;1048598841581289472;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:40:20;#leicester;Leicester
34;1048598666129367040;#M1 has now fully reopened in both directions between J21 and J21A however significant northbound delays remain. 🛣️… https://t.co/y5L8P1cHEa;2018-10-06 15:39:38;#leicester;Leicester
35;1048598388915232769;RT @DanielA50231990: Red Card Day, #Cardiff #Leicester and #Watford all down a man. Take advantage #thfc ! #coys #totcar;2018-10-06 15:38:32;#leicester;Leicester
36;1048598324478062592;Red Card Day, #Cardiff #Leicester and #Watford all down a man. Take advantage #thfc ! #coys #totcar;2018-10-06 15:38:17;#leicester;Leicester
37;1048598301703122944;chillwell, Vardy, and Morrison have been very dangerous all game for #Leicester still need to be careful in the back for #Everton;2018-10-06 15:38:11;#leicester;Leicester
38;1048598084945567744;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:37:20;#leicester;Leicester
39;1048598080768098304;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:37:19;#leicester;Leicester
40;1048597874383212545;What a golazo from Gylfi! Özil could never. I've been saying he's the most underrated attacking mid in the league f… https://t.co/1db8WMiSOz;2018-10-06 15:36:29;#leicester;Leicester
41;1048597762907021312;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:36:03;#leicester;Leicester
42;1048597713179344896;#Leicester have lost 86% of matches when losing 2-1 after 78 mins since the start of last season. #LEIEVE #LEI #EVE;2018-10-06 15:35:51;#leicester;Leicester
43;1048597494916153344;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:34:59;#leicester;Leicester
44;1048597408999985152;"#football #livescore
GOAL! ⏱️ 76’
#Leicester City 1-2 ⚽️ #Everton";2018-10-06 15:34:38;#leicester;Leicester
45;1048597375554605056;"RT @leicesterliz: At launch of new specialist welfare advice service, Community Advice &amp; Law Service #Leicester. Needed more than ever http…";2018-10-06 15:34:30;#leicester;Leicester
46;1048597225004306433;"RT @UnityNewsNet: Why are the media IGNORING this story?!!!

Read now: https://t.co/Cg0vFZZMJf

#Leicester";2018-10-06 15:33:55;#leicester;Leicester
47;1048597138215776256;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:33:34;#leicester;Leicester
48;1048596994808336384;RT @natural_mag You’d have had to be living under a rock for the past year to have missed the fact that plastic is… https://t.co/Yu0zjqcbFJ;2018-10-06 15:33:00;#leicester;Leicester
49;1048596978366656512;RT @andrew_gosden: Bamir Matmuja (14) missing from #Leicester (#Leicestershire) since August 29, 2018 https://t.co/pTdeDTUT8h …Translate Tw…;2018-10-06 15:32:56;#leicester;Leicester
50;1048596618923188225;"Limited Edition Glitter Gel Polish https://t.co/o1BPic0dvr
very low stock remaining
#nails #magneticnails… https://t.co/ErAOByHdLn";2018-10-06 15:31:30;#leicester;Leicester
51;1048596594562674689;DRIVERS | As the end of the match approaches, road blocks will soon be back in place on Raw Dykes Road so fans can… https://t.co/XRWH8N0y38;2018-10-06 15:31:24;#leicester;Leicester
52;1048596430296965120;RT @NOWHERE_DJ: Full lineup announced for our 4th birthday event on the 27th... @Jozef_K_DJ @JoeIglesiasDJ @finnmurphybmx @LewisCowings @Mr…;2018-10-06 15:30:45;#leicester;Leicester
53;1048596389545082886;"Join us on Sunday, we'll sort you out xx

#FirebugLeicester #Hungover #Sunday #Recovery #HairOfTheDog #Leicester… https://t.co/Qiuvg6GIHL";2018-10-06 15:30:35;#leicester;Leicester
54;1048596385262649344;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:30:34;#leicester;Leicester
55;1048596294418255872;"There is about 15 minutes left here, if you were PUEL what would you do now ?
Tell us how you would see the game ou… https://t.co/EH029sf60q";2018-10-06 15:30:13;#leicester;Leicester
56;1048596235614113792;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:29:59;#leicester;Leicester
57;1048596178777006080;"RT @Holbornlolz: Invite the 3rd world, get the 3rd world

#OrcWatch #Leicester 

https://t.co/BdE2c1fMPH";2018-10-06 15:29:45;#leicester;Leicester
